Ahmadnagar,19.09457,74.73843
Akola,20.70957,76.9981
Amravati,20.93333,77.75
Aurangabad,19.88333,75.33333
Bhandara,21.16667,79.65
Bid,16.64817,74.12988
Buldana,20.52932,76.18457
Chandrapur,19.94711,79.29607
Dhule,20.90251,74.77735
Gadchiroli,19.5,75
Gondiya,21.46015,80.19203
Hingoli,19.71908,77.14826
Jalgaon,21.01009,75.56843
Jalna,19.84102,75.88636
Kolhapur,16.69563,74.23167
Latur,18.39721,76.56784
Mumbai,19.07283,72.88261
Mumbai (Suburban),19.18473,72.96012
Nagpur,21.15,79.1
Nanded,19.16023,77.31497
Nandurbar,21.36608,74.23955
Nashik,20.25,74
Osmanabad,18.18158,76.0389
Parbhani,19.26855,76.77081
Pune,18.51957,73.85535
Raigarh,18.25,73.43333
Ratnagiri,16.9932,73.29371
Sangli,16.85438,74.56417
Satara,17.68589,73.99333
Sindhudurg,16.17,73.7
Solapur,17.67152,75.91044
Thane,19.19704,72.96356
Wardha,20.73807,78.5967
Washim,20.11152,77.13221
Yavatmal,20.39684,78.13064



























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































